"question","answer"
"Что такое Формула-1?","Формула-1 – это высшая категория автомобильных гонок, организуемая FIA."
"Сколько гонок проводится в сезоне Формулы-1?","Количество гонок меняется каждый год, но обычно в сезоне проводится от 20 до 24 гранпри."
"Что такое гран-при?","Гран-при – это отдельная гонка чемпионата Формулы-1, проходящая на конкретной трассе."
"Что такое квалификация в Формуле-1?","Квалификация – это сессия, определяющая стартовые позиции гонщиков перед гонкой."
"Что такое пит-стоп?","Пит-стоп – это заезд машины на пит-лейн для замены шин, ремонта или настройки болида."
"Какие типы шин используются в Формуле-1?","В Формуле-1 используются мягкие, средние и жёсткие слики, а также дождевые и промежуточные шины."
"Что такое DRS?","DRS – система уменьшения сопротивления воздуха, позволяющая увеличить скорость на прямых."
"Что такое командный приказ в Формуле-1?","Командный приказ – это указание команде, которое определяет действия гонщиков на трассе."
"Кто такой гонщик Формулы-1?","Гонщик Формулы-1 – профессиональный пилот, участвующий в чемпионате FIA."
"Что такое конструкторский зачёт?","Конструкторский зачёт – это чемпионат среди команд Формулы-1, основанный на сумме очков двух гонщиков."
"Как начисляются очки в Формуле-1?","Очки начисляются за первые десять мест, победитель получает 25 очков, второе место – 18 и так далее."
"Что такое болид Формулы-1?","Болид Формулы-1 – это одноместный гоночный автомобиль, разработанный по строгим техническим правилам FIA."
"Что такое система безопасности Halo?","Halo – защитная титановая дуга над кокпитом, предотвращающая попадание крупных объектов в гонщика."
"Что такое свободные заезды?","Свободные заезды – тренировочные сессии перед квалификацией и гонкой, в которых команды тестируют настройки."
"Сколько пилотов выступает в одном сезоне Формулы-1?","В сезоне обычно участвуют 20 пилотов – по два гонщика в каждой из десяти команд."
